threads,mean_estimate,ci_estimate,mean_duration,ci_duration,target
1,3.1416192,0.00081374398991348,8.451558000000002,0.25248774440835614,π
2,3.1412872,0.0008738890297515375,8.6046958,0.3013598430401972,π
4,3.1415138,0.0006675913644738914,8.260510799999999,0.19314703385863374,π
8,3.1415516,0.0007116373765337165,7.235769,0.08363773891667317,π
16,3.141755,0.000546588795348094,6.853247400000001,0.07431811579957356,π
32,3.1418402,0.0009642855400346722,6.55956,0.07390149673349737,π
64,3.1415531999999997,0.0008139127444141467,6.3110924,0.13823369610107247,π
128,3.1417294,0.0008293262376651072,6.787630999999999,0.4228499489926214,π
256,3.141431,0.0011631828028302624,6.7126526,1.0650913747043567,π
512,3.1412482,0.00048318154385258504,6.450460000000001,0.46124314962818486,π
1024,3.1415339999999996,0.0007191677768086116,6.5922636,0.3057003284559861,π
2048,3.1416361999999998,0.0011471287430452105,6.397797799999999,0.1950130189972232,π
